Cities,ID ,Year,Decentralization,Population,Density 
Abomey,69,2005,0.614,86181,607
Abomey,69,2006,0.486,89100,627
Abomey,69,2007,0.376,92099,649
Abomey,69,2008,0.447,95175,670
Abomey,69,2009,0.292,98336,693
Abomey,69,2010,0.327,101586,715
Abomey-Calavi,16,2005,0.830,338511,628
Abomey-Calavi,16,2006,0.935,349977,649
Abomey-Calavi,16,2007,0.877,361754,671
Abomey-Calavi,16,2008,0.961,373837,694
Abomey-Calavi,16,2009,0.694,386254,717
Abomey-Calavi,16,2010,0.886,399019,740
Adja-Ouere,64,2005,0.773,89655,163
Adja-Ouere,64,2006,0.733,92691,169
Adja-Ouere,64,2007,0.731,95811,174
Adja-Ouere,64,2008,0.343,99011,180
Adja-Ouere,64,2009,0.231,102299,186
Adja-Ouere,64,2010,0.284,105680,192
Adjarra,55,2005,0.746,66129,590
Adjarra,55,2006,0.663,68362,610
Adjarra,55,2007,0.685,70670,631
Adjarra,55,2008,0.592,73030,652
Adjarra,55,2009,0.537,75456,674
Adjarra,55,2010,0.699,77949,696
Adjohoun,56,2005,0.275,62105,202
Adjohoun,56,2006,0.254,64208,208
Adjohoun,56,2007,0.314,66369,215
Adjohoun,56,2008,0.103,68586,223
Adjohoun,56,2009,0.225,70864,230
Adjohoun,56,2010,0.379,73206,238
Agbangnizoun,70,2005,0.257,60504,248
Agbangnizoun,70,2006,0.140,62554,256
Agbangnizoun,70,2007,0.133,64659,265
Agbangnizoun,70,2008,0.142,66818,274
Agbangnizoun,70,2009,0.091,69038,283
Agbangnizoun,70,2010,0.095,71319,292
Aguegues,57,2005,0.476,28318,
Aguegues,57,2006,0.381,30311,294
Aguegues,57,2007,0.147,31331,304
Aguegues,57,2008,0.168,32378,314
Aguegues,57,2009,0.090,33453,325
Aguegues,57,2010,0.131,34559,336
Akpro-Misserete,58,2005,0.590,79925,1012
Akpro-Misserete,58,2006,0.819,82632,1046
Akpro-Misserete,58,2007,0.786,85413,1081
Akpro-Misserete,58,2008,0.727,88265,1117
Akpro-Misserete,58,2009,0.572,91197,1154
Akpro-Misserete,58,2010,0.589,94211,1193
Allada,17,2005,0.622,100960,265
Allada,17,2006,0.615,104379,274
Allada,17,2007,0.446,107892,283
Allada,17,2008,1.061,111496,293
Allada,17,2009,0.825,115199,302
Allada,17,2010,0.376,119006,312
Aplahoue,38,2005,0.674,128696,145
Aplahoue,38,2006,0.602,133055,145
Aplahoue,38,2007,0.438,137533,150
Aplahoue,38,2008,0.457,142127,155
Aplahoue,38,2009,0.243,146847,160
Aplahoue,38,2010,0.277,151700,166
Athieme,49,2005,0.283,43434,182
Athieme,49,2006,0.175,44905,189
Athieme,49,2007,0.163,46416,195
Athieme,49,2008,0.171,47967,202
Athieme,49,2009,0.126,49560,208
