Cities,ID,Year,,pop<1$,pop_nowateraccess,cons_health,pop_wateraccess,pop_toiletacess,ind_pauv_mon,ind_pauv_nonm,gini,educ_adult,pubhosp,consump/c,for_dentr.,connect_soneb,connec_pomp,#casesantep,#medprive,#clinpriv,#dispens,#hospital,#nursing room,#smi
Banikoara,1,2010,,41,,2,40,21,27,38,0,30,18,202252,83,3,97,7,1,2,10,1,1,16
Gogounou,2,2010,,34,,1,73,37,32,22,0,16,8,21832,86,0,100,0,0,1,8,0,11,4
Kandi,3,2010,,44,,1,76,38,30,21,0,8,21,197891,96,19,81,2,0,3,11,8,8,11
Karimama,4,2010,,59,,2,67,35,54,60,0,14,0,144130,83,0,100,0,0,0,0,0,0,1
Malanville,5,2010,,34,,2,58,30,39,34,0,20,13,212984,92,16,69,1,0,4,6,6,4,5
Segbana,6,2010,,38,,2,77,39,47,28,0,34,16,223327,49,8,100,8,0,0,5,3,0,6
Boukoumbe,7,2010,,54,,1,74,37,41,86,0,31,8,150870,78,40,43,2,0,0,2,4,0,2
Cobly,8,2010,,46,,1,69,35,28,93,0,22,0,17284,84,5,95,0,0,0,0,0,0,0
Kerou,9,2010,,46,,3,58,30,30,66,0,37,11,175813,95,15,78,0,4,1,11,0,0,0
Kouande,10,2010,,61,,2,56,29,45,47,0,48,9,148181,98,4,70,0,1,1,8,1,0,0
Materi,11,2010,,71,,1,90,46,35,70,0,40,1,120971,89,11,89,0,0,0,0,1,0,0
Natitingou,12,2010,,42,,1,69,35,38,58,0,63,31,177130,84,34,41,1,0,0,12,18,0,2
Pehunco,13,2010,,28,,1,51,26,23,45,0,50,9,218642,98,12,81,0,0,0,8,1,0,1
Tanguieta,14,2010,,54,,0,88,44,36,68,0,35,4,14414,83,11,89,0,0,0,3,1,0,0
Toucountouna,15,2010,,70,,0,54,27,50,97,0,32,6,12022,99,10,91,2,0,0,0,4,0,0
Abomey-Calavi,16,2010,,8,,2,73,37,18,6,0,86,19,387615,80,18,10,1,0,16,10,8,39,1
Allada,17,2010,,55,,1,58,30,47,50,0,55,36,180680,97,17,73,2,1,22,16,18,9,14
Kpomasse,18,2010,,39,,3,51,27,35,32,0,85,36,194105,99,43,40,0,0,0,0,36,0,0
Ouidah,19,2010,,36,,2,69,35,48,8,0,72,1,170363,99,100,0,0,0,0,0,1,0,0
So-Ava,20,2010,,43,,2,80,41,53,53,0,44,12,901190,93,3,54,1,0,0,2,9,7,0
Toffo,21,2010,,52,,4,74,39,53,38,0,62,12,178523,91,0,76,1,0,5,2,9,11,0
Torri-Bossito,22,2010,,59,,2,70,36,48,40,0,73,17,137474,91,11,40,8,0,2,0,9,1,0
Ze,23,2010,,67,,2,58,30,56,50,0,49,0,119272,93,0,83,0,0,0,0,0,1,0
Bembereke,24,2010,,49,,2,62,32,28,38,0,42,0,172820,91,12,64,0,0,0,0,0,0,0
Kalale,25,2010,,52,,1,50,26,23,61,0,30,0,1609,87,2,96,0,0,0,0,0,0,0
N'dali,26,2010,,54,,2,68,35,39,25,0,65,0,163615,91,29,8,0,0,0,0,0,0,0
Nikki,27,2010,,47,,2,77,40,39,37,0,44,12,163584,95,12,86,0,0,0,4,8,0,1
Parakou,28,2010,,21,,1,88,44,23,6,0,92,59,276436,93,73,3,19,24,43,14,26,154,0
Perere,29,2010,,43,,3,94,48,26,12,0,45,6,168364,99,0,100,0,0,1,1,5,0,0
